index,0,runs,balls,empty,fours,sixes,strike_rate,out_type,outby
1,Virat Kohli ,12,22,33,1,0,54.54,lbw,Kulasekara
23,Virat Kohli ,12,22,33,1,0,54.54,lbw,Kulasekara
49,Virat Kohli ,37,67,82,6,0,55.22,catch_out,Thushara
57,Virat Kohli ,25,38,40,4,0,65.78,run_out,(Silva)
78,Virat Kohli ,54,66,87,7,0,81.81, ,Thushara
108,Virat Kohli ,31,46,45,3,1,67.39,lbw,Kulasekara
125,Virat Kohli ,2,2,6,0,0,100,n,
151,Virat Kohli ,16,24,28,1,0,66.66,catch_out,Afridi
173,Virat Kohli ,79,104,121,9,2,75.96,n,
187,Virat Kohli ,30,41,53,3,0,73.17,catch_out,Voges
207,Virat Kohli ,10,16,32,1,0,62.5,catch_out,Bollinger
222,Virat Kohli ,27,19,20,4,0,142.1, ,Welegedara
238,Virat Kohli ,54,65,93,7,0,83.07,lbw,Randiv
263,Virat Kohli ,107,114,114,11,1,93.85,catch_out,Randiv
267,Virat Kohli ,9,12,19,1,0,75,catch_out,Welegedara
293,Virat Kohli ,91,102,136,7,0,89.21,catch_out,Hasan
310,Virat Kohli ,71,68,98,9,0,104.41,n,
322,Virat Kohli ,102,95,128,11,0,107.36,n,
328,Virat Kohli ,2,8,6,0,0,25,catch_out,Welegedara
349,Virat Kohli ,31,46,46,1,0,67.39,catch_out,Morkel
389,Virat Kohli ,57,71,71,4,1,80.28,catch_out,Steyn
400,Virat Kohli ,0,0,3,0,0,-,run_out,(Chigumura)
424,Virat Kohli ,82,92,125,4,0,89.13,catch_out,Randiv
429,Virat Kohli ,18,29,28,1,0,62.06,catch_out,Utseya
445,Virat Kohli ,68,95,123,5,0,71.57,catch_out,Thushara
473,Virat Kohli ,11,22,35,0,0,50,s,Hasan
490,Virat Kohli ,18,27,31,1,0,66.66, ,Ajmal
499,Virat Kohli ,10,14,13,1,0,71.42,catch_out,Maharoof
515,Virat Kohli ,28,34,57,4,0,82.35,catch_out,Malinga
545,Virat Kohli ,0,3,5,0,0,0,catch_out,Fernando
551,Virat Kohli ,8,16,22,1,0,50,catch_out,Southee
583,Virat Kohli ,37,57,98,5,0,64.91,catch_out,Perera
599,Virat Kohli ,118,121,193,11,1,97.52,catch_out,Hastings
606,Virat Kohli ,105,104,162,10,0,100.96,catch_out,MKay
638,Virat Kohli ,64,73,78,8,0,87.67,catch_out,MKay
652,Virat Kohli ,63,70,83,6,2,90,n,
664,Virat Kohli ,0,2,3,0,0,0,catch_out,MKay
682,Virat Kohli ,2,8,10,0,0,25,catch_out,Vettori
697,Virat Kohli ,54,70,122,2,1,77.14,catch_out,Steyn
708,Virat Kohli ,22,34,43,1,0,64.7,run_out,(Miller)
741,Virat Kohli ,28,41,51,5,0,68.29,catch_out,Morkel
760,Virat Kohli ,87,92,126,7,2,94.56,n,
779,Virat Kohli ,2,6,11,0,0,33.33,catch_out,Morkel
791,Virat Kohli ,100,83,113,8,2,120.48,n,
810,Virat Kohli ,8,5,12,1,0,160, ,Bresnan
839,Virat Kohli ,34,53,82,3,0,64.15,run_out,O'Brien)
858,Virat Kohli ,12,20,16,2,0,60, ,Borren
867,Virat Kohli ,1,3,2,0,0,33.33,catch_out,Peterson
883,Virat Kohli ,59,76,128,5,0,77.63, ,Rampaul
914,Virat Kohli ,24,33,38,1,0,72.72,catch_out,Hussey
921,Virat Kohli ,9,21,20,0,0,42.85,catch_out,Riaz
951,Virat Kohli ,35,49,69,4,0,71.42,catch_out,Dilshan
967,Virat Kohli ,2,8,5,0,0,25,catch_out,Rampaul
986,Virat Kohli ,81,103,118,6,1,78.64,catch_out,Bishoo
1001,Virat Kohli ,0,1,1,0,0,0,lbw,Sammy
1020,Virat Kohli ,22,33,68,1,0,66.66,s,Martin
1031,Virat Kohli ,94,104,135,10,0,90.38,run_out,(†Baugh/Sarwan)
1049,Virat Kohli ,55,73,92,4,0,75.34, ,Patel
1063,Virat Kohli ,9,9,9,0,0,100,catch_out,Swann
1077,Virat Kohli ,7,18,18,0,0,38.88,catch_out,Anderson
1095,Virat Kohli ,16,36,40,1,0,44.44,catch_out,Swann
1112,Virat Kohli ,107,93,102,9,1,115.05,h,Swann
1126,Virat Kohli ,37,63,70,0,0,58.73,catch_out,Patel
1157,Virat Kohli ,112,98,134,16,0,114.28,n,
1167,Virat Kohli ,35,30,42,5,0,116.66,lbw,Swann
1185,Virat Kohli ,86,99,99,11,0,86.86,n,
1190,Virat Kohli ,0,5,5,0,0,0, ,Finn
1223,Virat Kohli ,3,6,13,0,0,50, ,Roah
1245,Virat Kohli ,117,123,154,14,0,95.12,catch_out,Rampaul
1260,Virat Kohli ,20,30,21,3,0,66.66,lbw,Narine
1273,Virat Kohli ,23,11,15,3,0,209.09,n,
1290,Virat Kohli ,80,85,99,5,0,94.11,catch_out,Martin
1314,Virat Kohli ,31,34,30,3,0,91.17,catch_out,MKay
1335,Virat Kohli ,77,94,156,8,1,81.91,run_out,(Malinga)
1352,Virat Kohli ,18,28,41,1,0,64.28,catch_out,MKay
1371,Virat Kohli ,15,25,32,1,0,60,lbw,Perera
1389,Virat Kohli ,12,25,44,0,0,48,catch_out,Hilfenhaus
1409,Virat Kohli ,66,83,116,2,0,79.51,catch_out,Perera
1430,Virat Kohli ,21,27,36,2,0,77.77,catch_out,Watson
1447,Virat Kohli ,133,86,133,16,2,154.65,n,
1451,Virat Kohli ,108,120,148,7,0,90,catch_out,Maharoof
1467,Virat Kohli ,66,82,126,5,0,80.48, ,Razzak
1489,Virat Kohli ,183,148,211,22,1,123.64,catch_out,Gul
1495,Virat Kohli ,106,113,158,9,0,93.8,catch_out,Perera
1514,Virat Kohli ,1,5,6,0,0,20,catch_out,Perera
1535,Virat Kohli ,38,65,80,2,0,58.46,catch_out,Herath
1552,Virat Kohli ,128,119,187,12,1,107.56,n,
1558,Virat Kohli ,23,35,42,2,0,65.71,lbw,Pradeep
1578,Virat Kohli ,0,5,9,0,0,0, ,Khan
1603,Virat Kohli ,6,9,12,1,0,66.66,catch_out,Khan
1614,Virat Kohli ,7,17,25,1,0,41.17,catch_out,Khan
1642,Virat Kohli ,15,22,45,1,0,68.18,catch_out,Bresnan
1653,Virat Kohli ,37,54,86,1,1,68.51,catch_out,Woakes
1683,Virat Kohli ,77,79,110,9,2,97.46,n,
1697,Virat Kohli ,26,33,44,3,0,78.78,catch_out,Tredwell
1704,Virat Kohli ,0,1,1,0,0,0,catch_out,Bresnan
1720,Virat Kohli ,31,41,46,2,0,75.6,catch_out,Tsotsoe
1751,Virat Kohli ,22,18,18,4,0,122.22, ,Narine
1766,Virat Kohli ,22,27,36,3,0,81.48,n,
1780,Virat Kohli ,58,64,80,4,1,90.62,n,
1784,Virat Kohli ,43,34,66,4,1,126.47,catch_out,Anderson
1803,Virat Kohli ,11,21,19,0,1,52.38,catch_out,Sammy
1827,Virat Kohli (c),2,5,6,0,0,40,catch_out,Mathews
1837,Virat Kohli (c),102,83,120,13,2,122.89,catch_out,Bravo
1856,Virat Kohli (c),31,52,62,4,0,59.61,lbw,Herath
1883,Virat Kohli ,2,5,8,0,0,40,catch_out,Eranga
