index,0,runs,balls,fours,sixes,strike_rate,out_type,outby
9,Virat Kohli (c),94,50,6,6,188,not_out,
16,Virat Kohli (c),19,17,2,0,111.76,catch_out,Williams
29,Virat Kohli (c),70,29,4,7,241.37,not_out,
55,Virat Kohli (c),30,17,1,2,176.47,not_out,
62,Virat Kohli (c),26,17,2,1,152.94,runot_out_out,(Gunathilaka/†Perera)
85,Virat Kohli (c),45,32,3,1,140.62,catch_out,Tikner
98,Virat Kohli (c),11,12,1,0,91.66,catch_out,Southee
104,Virat Kohli (c),38,27,2,1,140.74,catch_out,Bennett
117,Virat Kohli (c),11,9,2,0,122.22,catch_out,Bennett
135,Virat Kohli (c),9,9,1,0,100,catch_out,Swepson
160,Virat Kohli (c),40,24,2,2,166.66,catch_out,Sams
173,Virat Kohli (c),85,61,4,3,139.34,catch_out,Tye
182,Virat Kohli (c),0,5,0,0,0,catch_out,Rashid
203,Virat Kohli (c),73,49,5,3,148.97,not_out,
209,Virat Kohli (c),77,46,8,4,167.39,not_out,
220,Virat Kohli (c),1,5,0,0,20,not_out,Rashid
238,Virat Kohli (c),80,52,7,2,153.84,not_out,
253,Virat Kohli (c),57,49,5,1,116.32,catch_out,Afridi
265,Virat Kohli (c),9,17,0,0,52.94,catch_out,Sodhi
292,Virat Kohli (c),2,2,0,0,100,not_out,
317,Virat Kohli ,17,13,1,0,130.76,catch_out,Allen
323,Virat Kohli ,52,41,7,1,126.82,catch_out,Chase
335,Virat Kohli ,1,3,0,0,33.33,catch_out,Gleeson
364,Virat Kohli ,11,6,1,1,183.33,catch_out,Willey
387,Virat Kohli ,26,21,3,1,123.8,not_out,
401,Virat Kohli ,28,19,5,0,147.36,not_out,Botha
421,Virat Kohli ,14,12,2,0,116.66,catch_out,Sammy
437,Virat Kohli ,4,5,0,0,80,catch_out,Broad
453,Virat Kohli ,15,16,3,0,93.75,catch_out,Bresnan
475,Virat Kohli ,22,21,0,1,104.76,catch_out,Hogg
494,Virat Kohli ,31,24,3,0,129.16,catch_out,Marsh
506,Virat Kohli ,68,48,11,1,141.66,catch_out,Eranga
528,Virat Kohli ,70,41,10,1,170.73,catch_out,Franklin
535,Virat Kohli ,50,39,4,2,128.2,catch_out,Zadran
553,Virat Kohli ,40,32,6,0,125,catch_out,Swann
570,Virat Kohli ,15,13,2,0,115.38,catch_out,Cummins
593,Virat Kohli ,78,61,8,2,127.86,not_out,
597,Virat Kohli ,2,6,0,0,33.33,catch_out,Kallis
623,Virat Kohli ,21,17,2,0,123.52,catch_out,Meaker
630,Virat Kohli ,38,20,7,0,190,lbw,Meaker
645,Virat Kohli ,9,11,1,0,81.81,catch_out,Irfan
663,Virat Kohli ,27,22,3,0,122.72,runot_out_out,Ajmal)
688,Virat Kohli ,29,22,2,1,131.81,catch_out,MKay
701,Virat Kohli ,36,32,4,1,112.5,not_out,
715,Virat Kohli ,54,41,5,1,131.7,not_out,Russell
729,Virat Kohli ,57,50,3,1,114,not_out,
733,Virat Kohli ,23,22,2,1,104.54,catch_out,Muirhead
759,Virat Kohli ,72,44,5,2,163.63,not_out,
765,Virat Kohli ,77,58,5,4,132.75,runot_out_out,(Senanayake)
784,Virat Kohli ,66,41,9,1,160.97,catch_out,Finn
791,Virat Kohli ,43,27,1,3,159.25,catch_out,Aott
803,Virat Kohli ,1,1,0,0,100,runot_out_out,Villiers)
820,Virat Kohli ,90,55,9,2,163.63,not_out,
836,Virat Kohli ,59,33,7,1,178.78,not_out,
857,Virat Kohli ,50,36,2,1,138.88,not_out,Boye
862,Virat Kohli ,7,12,1,0,58.33,catch_out,Mortaza
890,Virat Kohli ,49,51,7,0,96.07,lbw,Sami
907,Virat Kohli ,56,47,7,0,119.14,not_out,
935,Virat Kohli ,41,28,5,0,146.42,not_out,
948,Virat Kohli ,23,27,2,0,85.18,catch_out,Sodhi
966,Virat Kohli ,55,37,7,1,148.64,not_out,
972,Virat Kohli ,24,24,0,1,100,not_out,Hom
999,Virat Kohli ,82,51,9,2,160.78,not_out,
1005,Virat Kohli ,89,47,11,1,189.36,not_out,
1022,Virat Kohli ,16,9,3,0,177.77,catch_out,Bravo
1038,Virat Kohli (c),29,26,4,0,111.53,catch_out,Ali
1052,Virat Kohli (c),21,15,2,1,140,catch_out,Jordan
1069,Virat Kohli (c),2,4,0,0,50,runot_out_out,(Jordan)
1087,Virat Kohli (c),39,22,7,1,177.27,catch_out,Williams
1109,Virat Kohli (c),82,54,7,1,151.85,catch_out,Udana
